Entidad,Municipio, Porcentaje2020 , Personas2020 
Chiapas,Tenejapa, 14.75 ," 7,172.00 "
Chiapas,Teopisca, 28.03 ," 11,909.00 "
Chiapas,Tila, 20.80 ," 15,699.00 "
Chiapas,Tonalá, 25.24 ," 24,090.00 "
Chiapas,Totolapa, 23.06 ," 1,679.00 "
Chiapas,La Trinitaria, 28.27 ," 25,862.00 "
Chiapas,Tumbalá, 14.56 ," 5,591.00 "
Chiapas,Tuxtla Gutiérrez, 14.66 ," 85,716.00 "
Chiapas,Tuxtla Chico, 24.13 ," 11,685.00 "
Chiapas,Tuzantán, 25.78 ," 8,727.00 "
Chiapas,Tzimol, 16.99 ," 3,057.00 "
Chiapas,Unión Juárez, 15.66 ," 2,555.00 "
Chiapas,Venustiano Carranza, 31.57 ," 20,964.00 "
Chiapas,Villa Corzo, 27.60 ," 18,337.00 "
Chiapas,Villaflores, 27.51 ," 31,602.00 "
Chiapas,Yajalón, 7.16 ," 2,664.00 "
Chiapas,San Lucas, 43.38 ," 3,297.00 "
Chiapas,Zinacantán, 32.60 ," 14,935.00 "
Chiapas,San Juan Cancuc, 12.18 ," 4,667.00 "
Chiapas,Aldama, 20.85 ," 1,785.00 "
Chiapas,Benemérito de las Américas, 26.14 ," 6,667.00 "
Chiapas,Maravilla Tenejapa, 24.40 ," 3,626.00 "
Chiapas,Marqués de Comillas, 15.84 ," 2,085.00 "
Chiapas,Montecristo de Guerrero, 9.93 , 844.00 
Chiapas,San Andrés Duraznal, 20.31 ," 1,240.00 "
Chiapas,Santiago el Pinar, 34.30 ," 1,718.00 "
Chiapas,Capitán Luis Ángel Vidal, 11.50 , 501.00 
Chiapas,Rincón Chamula San Pedro, 54.80 ," 4,825.00 "
Chiapas,El Parral, 25.40 ," 3,878.00 "
Chiapas,Emiliano Zapata, 31.46 ," 3,684.00 "
Chiapas,Mezcalapa, 12.87 ," 3,240.00 "
Chiapas,Honduras de la Sierra, n.d. , n.d. 
Chihuahua,Ahumada, 15.73 ," 2,278.00 "
Chihuahua,Aldama, 7.72 ," 1,995.00 "
Chihuahua,Allende, 6.17 , 544.00 
Chihuahua,Aquiles Serdán, 14.33 ," 3,598.00 "
Chihuahua,Ascensión, 20.15 ," 5,713.00 "
Chihuahua,Bachíniva, 9.94 , 600.00 
Chihuahua,Balleza, 50.11 ," 8,569.00 "
Chihuahua,Batopilas, 40.66 ," 4,766.00 "
Chihuahua,Bocoyna, 18.31 ," 4,316.00 "
Chihuahua,Buenaventura, 13.37 ," 3,456.00 "
Chihuahua,Camargo, 7.08 ," 3,526.00 "
Chihuahua,Carichí, 26.13 ," 2,205.00 "
Chihuahua,Casas Grandes, 18.38 ," 2,341.00 "
Chihuahua,Coronado, 9.80 , 207.00 
Chihuahua,Coyame del Sotol, 2.35 , 30.00 
Chihuahua,La Cruz, 6.85 , 264.00 
Chihuahua,Cuauhtémoc, 15.57 ," 28,182.00 "
Chihuahua,Cusihuiriachi, 8.79 , 466.00 
Chihuahua,Chihuahua, 10.11 ," 97,816.00 "
Chihuahua,Chínipas, 13.69 , 886.00 
Chihuahua,Delicias, 11.93 ," 18,768.00 "
Chihuahua,Dr. Belisario Domínguez, 9.98 , 255.00 
Chihuahua,Galeana, 7.28 , 504.00 
Chihuahua,Santa Isabel, 4.87 , 192.00 
Chihuahua,Gómez Farías, 19.54 ," 1,427.00 "
Chihuahua,Gran Morelos, 12.86 , 327.00 
Chihuahua,Guachochi, 45.76 ," 22,843.00 "
Chihuahua,Guadalupe, 5.53 , 244.00 
Chihuahua,Guadalupe y Calvo, 36.01 ," 17,328.00 "
Chihuahua,Guazapares, 11.89 ," 1,013.00 "
Chihuahua,Guerrero, 21.78 ," 7,725.00 "
Chihuahua,Hidalgo del Parral, 11.24 ," 13,681.00 "
Chihuahua,Huejotitán, 2.50 , 21.00 
Chihuahua,Ignacio Zaragoza, 5.94 , 321.00 
Chihuahua,Janos, 9.11 , 977.00 
Chihuahua,Jiménez, 11.61 ," 4,953.00 "
Chihuahua,Juárez, 11.73 ," 187,720.00 "
Chihuahua,Julimes, 9.45 , 490.00 
Chihuahua,López, 9.81 , 420.00 
Chihuahua,Madera, 16.78 ," 4,320.00 "
Chihuahua,Maguarichi, 20.37 , 276.00 
Chihuahua,Manuel Benavides, 1.64 , 20.00 
Chihuahua,Matachí, 14.83 , 423.00 
Chihuahua,Matamoros, 12.75 , 572.00 
Chihuahua,Meoqui, 16.58 ," 7,802.00 "
Chihuahua,Morelos, 45.61 ," 3,447.00 "
Chihuahua,Moris, 9.68 , 448.00 
Chihuahua,Namiquipa, 10.65 ," 2,409.00 "
Chihuahua,Nonoava, 23.71 , 680.00 
Chihuahua,Nuevo Casas Grandes, 17.38 ," 12,330.00 "
Chihuahua,Ocampo, 12.72 ," 1,075.00 "
Chihuahua,Ojinaga, 5.85 ," 1,410.00 "
Chihuahua,Praxedis G. Guerrero, 15.64 , 832.00 
Chihuahua,Riva Palacio, 2.78 , 223.00 
Chihuahua,Rosales, 11.69 ," 2,008.00 "
Chihuahua,Rosario, 8.45 , 183.00 
Chihuahua,San Francisco de Borja, 17.89 , 409.00 
Chihuahua,San Francisco de Conchos, 4.78 , 134.00 
Chihuahua,San Francisco del Oro, 7.86 , 409.00 
Chihuahua,Santa Bárbara, 12.59 ," 1,481.00 "
Chihuahua,Satevó, 4.82 , 171.00 
Chihuahua,Saucillo, 10.05 ," 3,060.00 "
Chihuahua,Temósachic, 15.16 , 839.00 
Chihuahua,El Tule, 12.74 , 192.00 
Chihuahua,Urique, 33.76 ," 5,985.00 "
Chihuahua,Uruachi, 38.70 ," 2,621.00 "
Chihuahua,Valle de Zaragoza, 10.62 , 527.00 
Ciudad de México,Azcapotzalco, 10.92 ," 44,230.00 "
Ciudad de México,Coyoacán, 11.91 ," 67,750.00 "
Ciudad de México,Cuajimalpa de Morelos, 15.14 ," 30,264.00 "
Ciudad de México,Gustavo A. Madero, 17.56 ," 198,499.00 "
Ciudad de México,Iztacalco, 13.17 ," 49,657.00 "
Ciudad de México,Iztapalapa, 20.33 ," 357,903.00 "
Ciudad de México,La Magdalena Contreras, 15.85 ," 38,307.00 "
Ciudad de México,Milpa Alta, 23.88 ," 38,507.00 "
Ciudad de México,Álvaro Obregón, 16.39 ," 118,999.00 "
Ciudad de México,Tláhuac, 17.97 ," 67,895.00 "
Ciudad de México,Tlalpan, 19.67 ," 135,851.00 "
Ciudad de México,Xochimilco, 18.98 ," 83,026.00 "
Ciudad de México,Benito Juárez, 5.68 ," 21,219.00 "
Ciudad de México,Cuauhtémoc, 12.62 ," 62,083.00 "
Ciudad de México,Miguel Hidalgo, 8.34 ," 30,395.00 "
Ciudad de México,Venustiano Carranza, 10.79 ," 44,753.00 "
Durango,Canatlán, 14.39 ," 4,711.00 "
Durango,Canelas, 6.12 , 267.00 
Durango,Coneto de Comonfort, 16.52 , 682.00 
